service_path,domain,summary,depends_on,api_routes,notes
lib/services/access-token.service.ts,auth,"Generación y validación de tokens internos","supabase""token tables","app/api/auth/*","Usado para tokens de acceso interno"
lib/services/catalog.service.ts,products,"Compila catálogo de productos para eventos","supabase product tables","app/api/products/catalog",""
lib/services/checksum.service.ts,storage,"Maneja checksums para archivos","supabase storage","","Verificar integridad de uploads"
lib/services/course-management.service.ts,events,"Gestión de cursos ligados a eventos","supabase courses","app/api/admin/events/*",""
lib/services/distribution.service.ts,delivery,"Distribución y logística de pedidos","orders, supabase","",""
lib/services/egress.service.ts,reporting,"Exportes y salidas masivas","supabase","",""
lib/services/enhanced-order.service.ts,orders,"Vista enriquecida de pedidos (detalles, stats)","supabase order_details_with_audit","app/api/store/orders/*","Utilizado en tools consultar/actualizar pedidos"
lib/services/enhanced-token.service.ts,auth,"Tokens con capacidades extendidas","supabase tokens","",""
lib/services/family.service.ts,customers,"Datos y operaciones con familias","supabase","app/api/family/*",""
lib/services/fetch-counter.ts,ops,"Contador para rate limiting","redis?","",""
lib/services/folder-publish.service.ts,gallery,"Publicación de carpetas y control de acceso","supabase folders","",""
lib/services/folder.service.ts,gallery,"CRUD de carpetas y métricas","supabase folders/assets","app/api/admin/events/...","Ya expuesto vía MCP (crear/listar carpetas)"
lib/services/free-tier-optimizer.ts,pricing,"Optimización de costos en tier gratuito","pricing config","",""
lib/services/gallery-theme.service.ts,gallery,"Temas y estilos de galerías","supabase theme","",""
lib/services/gallery.service.ts,gallery,"Servicio central para galerías públicas/privadas","supabase","app/api/private/gallery/*",""
lib/services/hierarchical-gallery.service.ts,gallery,"Gestión jerárquica de galerías","supabase hierarchical views","app/api/hierarchical/*",""
lib/services/image-optimization.service.ts,ops,"Optimización de imágenes","workers","",""
lib/services/inventory.service.ts,products,"Inventario y stock","supabase inventory","app/api/admin/products/*",""
lib/services/mock-storage.ts,dev,"Mock para storage en desarrollo","","",""
lib/services/order-analytics.service.ts,analytics,"KPIs y tendencias de pedidos","supabase orders + RPC","","
lib/services/order-export.service.ts,orders,"Exportación de pedidos","supabase","",""
lib/services/order-security.service.ts,orders,"Permisos y seguridad alrededor de pedidos","supabase","",""
lib/services/order-workflow.service.ts,automation,"Workflows automáticos sobre pedidos","supabase orders","",""
lib/services/pdf.service.ts,export,"Generación de PDFs","pdfkit","",""
lib/services/photo-classification.service.ts,photos,"Clasificación/etiquetado de fotos","supabase photos","app/api/debug/photos-complex","Potencial para IA"
lib/services/photo-stats.service.ts,photos,"Métricas de fotos aprobadas/pending","supabase photos","","
lib/services/photo.service.ts,photos,"CRUD extendido de fotos (filtros, aprobac., URLs)","supabase photos","app/api/gallery/*","Base de varias tools MCP"
lib/services/product-catalog.ts,products,"Catálogo completo (productos, combos, pricing)","supabase product tables","app/api/products/*",""
lib/services/product-pricing.ts,pricing,"Reglas y cálculo de precios","product catalog","",""
lib/services/public-access.service.ts,gallery,"Tokens de acceso público","supabase public_access","app/api/public/*",""
lib/services/publicCheckout.service.ts,checkout,"Checkout público y órdenes","supabase orders","app/api/public/*",""
lib/services/publish-performance-monitor.ts,ops,"Monitorea performance de publicaciones","supabase logs","",""
lib/services/qr-analytics.service.ts,qr,"Analítica de códigos QR","supabase qr tables","app/api/qr/*",""
lib/services/qr-batch-processing.service.ts,qr,"Procesamiento por lotes de QR","supabase","",""
lib/services/qr-detection.service.ts,qr,"Detección QR en imágenes","wasm","",""
lib/services/qr-enhanced.service.ts,qr,"Funciones adicionales QR","supabase","",""
lib/services/qr.service.ts,qr,"Servicio base de QR","supabase","",""
lib/services/school-folder-templates.service.ts,gallery,"Templates de carpetas por escuela","supabase","",""
lib/services/share-service-fix.ts,sharing,"Hotfixes de share","supabase","app/api/share","Temporal"
lib/services/share.service.ts,sharing,"Generación de links compartibles","supabase","app/api/share",""
lib/services/storage.ts,storage,"Acceso general a storage","supabase storage","",""
lib/services/store-config.client.service.ts,store,"Configuración de tienda (cliente)","supabase","",""
lib/services/store-config.service.ts,store,"Configuración de tienda (server)","supabase","app/api/store/config",""
lib/services/store-defaults.service.ts,store,"Defaults de tienda","supabase","",""
lib/services/store-initialization.service.ts,store,"Inicialización de tiendas","supabase","",""
lib/services/token.service.ts,auth,"Tokens varios","supabase","",""
lib/services/unified-photo.service.ts,photos,"Vista unificada de fotos para front/back","supabase","app/api/gallery",""
lib/services/url-batching.service.ts,ops,"Batching de URLs","","",""
lib/services/watermark-system.service.ts,photos,"Sistema avanzado de watermarks","supabase storage","",""
lib/services/watermark.service.ts,photos,"Watermarks básicos","storage","",""
lib/services/watermark.ts,photos,"Helpers de watermark","","",""
